taxonomy_name,dataset_name,num_mapped_classes,num_other_classes,num_classes
haridy2021egyptian-e-government_tx003.ttl,haridy2021egyptian-e-government,4,0,4
haridy2021egyptian-e-government_tx004.ttl,haridy2021egyptian-e-government,8,0,8
health-organizations_tx001.ttl,health-organizations,6,0,6
health-organizations_tx002.ttl,health-organizations,10,0,10
idaf2013_tx001.ttl,idaf2013,4,0,4
idaf2013_tx002.ttl,idaf2013,20,0,20
idaf2013_tx003.ttl,idaf2013,5,0,5
idaf2013_tx004.ttl,idaf2013,2,0,2
idaf2013_tx005.ttl,idaf2013,11,0,11
internal-affairs2013_tx001.ttl,internal-affairs2013,5,0,5
internal-affairs2013_tx002.ttl,internal-affairs2013,21,0,21
internal-affairs2013_tx003.ttl,internal-affairs2013,4,0,4
internal-affairs2013_tx004.ttl,internal-affairs2013,2,0,2
internal-affairs2013_tx005.ttl,internal-affairs2013,5,0,5
internal-affairs2013_tx006.ttl,internal-affairs2013,3,0,3
internal-affairs2013_tx007.ttl,internal-affairs2013,2,0,2
internship_tx001.ttl,internship,5,0,5
internship_tx002.ttl,internship,16,0,16
it-infrastructure_tx001.ttl,it-infrastructure,4,0,4
it-infrastructure_tx002.ttl,it-infrastructure,3,0,3
it-infrastructure_tx003.ttl,it-infrastructure,3,0,3
it-infrastructure_tx004.ttl,it-infrastructure,4,0,4
it-infrastructure_tx005.ttl,it-infrastructure,4,0,4
it-infrastructure_tx006.ttl,it-infrastructure,3,0,3
it-infrastructure_tx007.ttl,it-infrastructure,3,0,3
jacobs2022sdpontology_tx001.ttl,jacobs2022sdpontology,2,0,2
jacobs2022sdpontology_tx002.ttl,jacobs2022sdpontology,2,0,2
jacobs2022sdpontology_tx003.ttl,jacobs2022sdpontology,3,0,3
jacobs2022sdpontology_tx004.ttl,jacobs2022sdpontology,2,0,2
junior2018o4c_tx001.ttl,junior2018o4c,3,0,3
junior2018o4c_tx002.ttl,junior2018o4c,4,0,4
khantong2020ontology_tx001.ttl,khantong2020ontology,4,0,4
khantong2020ontology_tx002.ttl,khantong2020ontology,14,0,14
khantong2020ontology_tx003.ttl,khantong2020ontology,2,0,2
kostov2017towards_tx001.ttl,kostov2017towards,0,19,19
kostov2017towards_tx002.ttl,kostov2017towards,0,4,4
kostov2017towards_tx003.ttl,kostov2017towards,5,0,5
kostov2017towards_tx004.ttl,kostov2017towards,9,7,16
kostov2017towards_tx005.ttl,kostov2017towards,3,3,6
kritz2020ontobg_tx001.ttl,kritz2020ontobg,11,0,11
kritz2020ontobg_tx002.ttl,kritz2020ontobg,18,0,18
kritz2020ontobg_tx003.ttl,kritz2020ontobg,58,0,58
kritz2020ontobg_tx004.ttl,kritz2020ontobg,15,0,15
kritz2020ontobg_tx005.ttl,kritz2020ontobg,8,0,8
kritz2020ontobg_tx006.ttl,kritz2020ontobg,8,0,8
kritz2020ontobg_tx007.ttl,kritz2020ontobg,6,0,6
kritz2020ontobg_tx008.ttl,kritz2020ontobg,9,0,9
kritz2020ontobg_tx009.ttl,kritz2020ontobg,12,0,12
kritz2020ontobg_tx010.ttl,kritz2020ontobg,15,0,15
laurier2018rea_tx001.ttl,laurier2018rea,3,0,3
laurier2018rea_tx002.ttl,laurier2018rea,9,0,9
laurier2018rea_tx003.ttl,laurier2018rea,5,0,5
laurier2018rea_tx004.ttl,laurier2018rea,3,0,3
library_tx001.ttl,library,3,0,3
library_tx002.ttl,library,9,0,9
library_tx003.ttl,library,5,0,5
lindeberg2022full-ontorights_tx001.ttl,lindeberg2022full-ontorights,20,0,20
lindeberg2022full-ontorights_tx002.ttl,lindeberg2022full-ontorights,5,0,5
lindeberg2022full-ontorights_tx003.ttl,lindeberg2022full-ontorights,62,0,62
lindeberg2022full-ontorights_tx004.ttl,lindeberg2022full-ontorights,6,0,6
lindeberg2022full-ontorights_tx005.ttl,lindeberg2022full-ontorights,3,0,3
lindeberg2022full-ontorights_tx006.ttl,lindeberg2022full-ontorights,5,0,5
